case_id,run_id,model_id,display_name,evidence_quote,current_revised_answer_quote,current_classification,primary_eligible,proposed_treatment,proposed_wording_sketch,proposed_classification,anchor_naming_invariant_pass,uncertain,reviewer_notes
founder-grant-marcus-equity,20260425T114200Z,endowment-effect,Endowment Effect,"You're running two calculations simultaneously and they're contradicting each other. Calculation one: Marcus is so important that losing him would cause ""a year of chaos, maybe worse."" Calculation two: Marcus doesn't deserve equity because he ""joined something I built.""","Three — name the endowment effect out loud, but don't let it dictate the structure.",appropriate-primary,yes,primary pressure,"The Endowment Effect is the load-bearing read on the contradiction between treating Marcus as indispensable and dismissing his equity claim — he's been priced as critical when held, and as marginal when asked to be paid.",appropriate-primary,yes,no,Current treatment already strong; sketch keeps primary framing.
founder-grant-marcus-equity,20260425T114200Z,representativeness-heuristic,Representativeness Heuristic,"Using Tom's departure to inform the Marcus decision is like saying ""I got a flat tire once so I know what a car accident feels like.""","The Tom-vs-Marcus distinction holds too — different role, different blast radius, different competitive threat — but the representativeness heuristic cuts both ways: I treated one vivid analogy (""flat tire vs.",appropriate-primary,yes,primary pressure,"The Representativeness Heuristic surfaced where I read Tom's departure as predictive of Marcus's risk — the analogy was too vivid (""flat tire vs. car accident"") to actually transfer.",appropriate-primary,yes,no,Direct mechanism evidence; primary framing.
founder-grant-marcus-equity,20260425T114200Z,optionality,Optionality,"Here's what I'd propose: a 90-day product validation sprint. Two engineers, 50% time. Marcus leads it but continues his agency responsibilities. Budget it at roughly $80K in opportunity cost.","The optionality play — bounded 90-day validation sprint at ~1% of revenue, with named pass/fail signals — survives.",appropriate-primary,yes,primary pressure,"Optionality is the load-bearing tactic: a 90-day product validation sprint at ~1% of revenue with named pass/fail signals, before any full equity commitment.",appropriate-primary,yes,no,Specific mechanism (the sprint design); current and proposed both primary.
founder-grant-marcus-equity,20260425T114200Z,understanding-motivations,Understanding Motivations,"What does Marcus actually want — equity as wealth, or equity as voice? Those are very different things and require very different solutions.",Understanding Motivations matters more here than structural finesse.,appropriate-primary,yes,primary pressure,Understanding Motivations is more central than the structural finesse — whether Marcus wants equity-as-wealth or equity-as-voice changes the whole solution shape.,appropriate-primary,yes,no,"Direct, specific evidence."
founder-grant-marcus-equity,20260425T114200Z,principal-agent-problem,Principal Agent Problem,"A retention bonus says: ""I want you to stay, and I'll pay you to stay, but I don't want you to matter.""",MISSING: no sentence names or addresses Principal Agent Problem,hidden,yes,secondary lens,"There's a related Principal Agent Problem in any cash-only retention bonus — ""I want you to stay but I don't want you to matter"" creates the exact misalignment your gut already sees.",appropriate-secondary,yes,no,Specific evidence ('I want you to stay...'); secondary because Understanding Motivations and Endowment Effect already carry the primary load.
grant-equity-partnership-status,20260422T100308Z,optionality,Optionality,"a 90-day product validation sprint. Two engineers, 50% time. Marcus leads it but continues his agency responsibilities. Budget it at roughly $80K in opportunity cost.",Optionality's premortem question is the right one: have we generated enough options before narrowing the choice set?,appropriate-primary,yes,primary pressure,"Optionality's premortem question — ""have we generated enough options before narrowing?"" — is the load-bearing structural test before committing to either equity grant or non-grant.",appropriate-primary,yes,no,Same evidence as Row 3; consistent primary treatment.
grant-equity-partnership-status,20260422T100308Z,representativeness-heuristic,Representativeness Heuristic,"Using Tom's departure to inform the Marcus decision is like saying ""I got a flat tire once so I know what a car accident feels like.""",The Representativeness Heuristic anchor belongs here too.,appropriate-secondary,yes,secondary lens,"The Representativeness Heuristic is also at work in the Tom-vs-Marcus comparison — useful as a related lens, though it's not the primary structural pressure here.",appropriate-secondary,yes,no,Current is brief acknowledgment; sketch makes the secondary framing explicit.
grant-equity-partnership-status,20260422T100308Z,status-quo-bias,Status Quo Bias,"The status quo is not stable. You either make a decision Friday or Marcus makes one for you, probably within the next six months.",Status Quo Bias's failure mode is relevant here — overoptimism can keep the default plan alive even when a conjunctive chain makes success much less likely than it feels.,appropriate-primary,yes,primary pressure,"Status Quo Bias is the load-bearing read on the deadline pressure — ""the status quo is not stable; either you decide Friday or Marcus does"" is exactly the failure mode the model names.",appropriate-primary,yes,yes,Current sentence conflates status-quo-bias with overoptimism; not quite overclaim but blurry. Sketch separates them.
grant-equity-partnership-status,20260422T100308Z,inversion,Inversion,What's your business worth today without Marcus? Not your business on paper — your business if he walked out next month.,Third: Inversion was the right first move.,appropriate-primary,yes,primary pressure,"Inversion was the right first move — ""what's your business worth without Marcus?"" — and that flips the framing from cost-of-equity to cost-of-loss.",appropriate-primary,yes,no,Strong direct mechanism.
grant-equity-partnership-status,20260422T113930Z,opportunity-cost,Opportunity Cost,The difference between an $11M exit and a $5M exit is $6M. You're worried about giving away $1.3-2M to protect $6M of value.,"Opportunity Cost was correctly applied in principle: the cost of losing Marcus — 40% technical capability, three of the top five engineers, client relationship risk, potential competitive threat from the platform — is larger than the dilution cost.",appropriate-primary,yes,primary pressure,"Opportunity Cost is correctly applied in principle: the cost of losing Marcus (40% technical capability, three top-five engineers, client relationships) is larger than the dilution cost of equity.",appropriate-primary,yes,no,Specific quantitative evidence.
