experiment_id	date	hypothesis	fixed_cases	result	promotion_read	kept_signal	boundary_or_falsifier	next_step
bevelin_v0_fixed_suite	2026-05-20	Bevelin lens probes improve edge-pressure preservation in founder and PhD v2 without causing consultant or mother negative controls to over-promote.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	expand_replay_founder_and_phd_v2; stop_consultant; retest_mother	Incentives, denominator/false precision, commitment pressure, inversion, absence-of-evidence, and opportunity-cost pressure can improve private Step 6 context when carried as scan/parked/active receipts.	Lens packs can add prompt mass or make public answers abstract; consultant shows rendered hybrid should win when counsel-first sequencing is already clean; mother shows uncertainty enrichment may be useful but not decisive.	Run one more replay-style comparison for founder and PhD v2 using the lens answer cores, then test a Polya problem-shape lens as an independent preset.
bevelin_v0_replay_gate	2026-05-20	Bevelin-positive answer cores still improve when replayed against prior portfolio replays, and the comparison gate can record cognitive judgment without pretending code decides quality.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2	keep_research_only	pass_to_polya_comparison	The cognitive gate split is viable: human_static_research_judgment records quality judgment; deterministic checks validate custody, hygiene, consistency, and promotion blocks.	Founder watch item: prior replay names disengagement risk more explicitly; PhD watch item: inversion phrasing can become abstract.	Test Polya as an independent lens pack before any integration discussion.
polya_v0_fixed_suite	2026-05-20	Polya problem-shape probes improve cases where problem type, knowns/unknowns, and next informative move are the bottleneck without replacing Bevelin or over-promoting negative controls.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	expand_replay_phd_v2; stop_founder; stop_consultant; retest_mother	Polya is strongest on PhD v2 sequencing and viability conditions; useful on mother reversible action under uncertainty; not strongest for founder incentives or consultant counsel-first safety.	If Polya becomes a generic worksheet, it adds abstraction rather than quality; if it asks for more info too readily, it blocks answer-now cases.	Keep lens-pack interface research-only; next compare Bevelin-vs-Polya composition rules on PhD v2 only.
live_answer_core_gate	2026-05-20	Small live cognitive reviewers can test whether lens answer cores improve Step 6 context without pretending deterministic code decides quality.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	stop_replacement_answer_core_path	Rendered hybrid often beats short lens answer cores because it preserves concrete case nuance such as team destabilization, deadline pressure, and modular safety framing.	A reviewer can drift into judging final-answer template quality unless the prompt explicitly says private context, not final answer; promotion_read is ambiguous when the reviewer is blinded to source arms.	Test rendered-anchor plus protected-receipt composition instead of answer-core replacement.
context_composition_gate	2026-05-20	Rendered hybrid plus protected private receipts is closer to the intended architecture than replacing the answer core with a lens answer.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	retest_novelty_filtered_receipts	No-tax composition preserves breadth but over-promotes dual receipts in negative controls; complexity-tax composition makes negative controls safer and leaves PhD as the best retest case.	Too little tax produces bloat; too much tax prunes useful enrichment. Founder receipts were mostly redundant because rendered hybrid already carried dependency pressure.	Add a novelty filter against the rendered anchor, then retest PhD v2 and consultant before any SKILL.md integration draft.
step6_card_deck_replay	2026-05-20	A broad private Step 6 deck containing clean hybrid, Bevelin, and Polya improves context quality better than preselecting a single lens, because Step 6 can decide use/reject/defer/combine.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	retest_with_novelty_aware_card_renderer	After correcting the blinded comparison gate and refining the replay prompt, card-deck replay won founder, PhD v2, and consultant with high-confidence live judgments.	The mother safety case still favored clean hybrid because the deck replay was slightly more redundant; first gate version was flawed because a blinded reviewer was asked to report deck_effect.	Retest card deck with novelty-aware rendering or a second Step 6 model; keep mother as the first negative-control case before any SKILL.md integration draft.
step6_card_deck_novelty_ledger	2026-05-20	Adding a private novelty_role ledger and anchor-payload preservation lets Step 6 keep broad cards without turning every card into visible prose.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	keep_card_deck_research_shape_with_mother_stand_down	GPT-5.1 and Gemini comparisons both prefer card-deck replay for founder, PhD v2, and consultant after novelty-role, ledger-not-public-prose, anchor-payload, safety/legal, and hygiene-term prompt fixes.	Mother remains a clean-hybrid stand-down case across both reviewers; forcing a deck win there would optimize against sensitive phrasing quality.	Test a meta-policy where all-non-anchor confirming/private_guardrail ledgers allow the clean hybrid anchor to remain the visible answer while the card deck remains private context.
step6_card_deck_visibility_policy	2026-05-20	A ledger-based stand-down policy can represent mother-style clean-hybrid visibility without letting deterministic code decide answer quality.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	represent_as_gated_visibility_policy	Visibility artifacts produce card-deck-visible policy for founder, PhD v2, and consultant, and anchor-visible policy for mother after cognitive confirmation.	The policy relies on current comparison artifacts; without cognitive confirmation it must return retest_required rather than selecting.	Next step is a gated SKILL.md design draft only if we can keep runtime default-off and preserve the split: broad private deck, Step 6 ledger, cognitive confirmation, deterministic custody.
design_preamble_autoresearch_track	2026-05-20	Seven design preconditions and five residual asks should be handled as falsifiable design contracts before runtime integration.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	block_runtime_until_design_contracts_pass	The track converts cost/cache, generic cards, unified ledger overlap, omission checks, visibility asymmetry, and calibration floor into one-experiment-at-a-time slices.	The design can still fail if cached cards require live generation, overlap dedupe hides custody, omission checks are noisy, or anchor bias creates false stand-downs.	Run design_preamble_cost_cache_v0 first; keep SKILL.md and runtime dormant.
design_preamble_cost_cache_v0	2026-05-20	Cached-cards-first runtime is viable only if decks are compiled per run from cached lens substrates/current artifacts and normal runtime cache misses stand down instead of generating cards live.	founder-grant-marcus-equity.high-clutter; third-year-phd-student.v2; mid-level-consultant-report-2; mother-address-year	keep_research_only	block_runtime_until_card_interface_and_cache_hit_contracts_pass	The contract creates a compiled_card_deck_key from schema/version/source/problem/V60/safety/prompt material and proves runtime_cached_only misses add 0 LLM calls, disallow live generation, add 0 reviewer calls, and record card_deck_cache_miss.	Current fixtures use lens answer-core hashes as research proxies rather than future canonical lens-substrate hashes, and they represent V60 as not_attached_to_research_fixture unless hashes are supplied.	Run design_preamble_card_interface_v0 next; keep SKILL.md and runtime dormant.
